,Flux1.100m,Energy_Flux100,Significance,nu,nufnu,Variability_Index,Pivot_Energy,X.name,z,Gaia_G_Magnitude,PL_Index,LP_Index,LP_beta,Label
0,1.3600000000000067e-09,1.930000000000115e-11,44.134697000000166,157999999999991.75,1.1499999999999674e-12,1564.4176000000148,355.7844200000005,4FGL J0001.5+2113,1.106,18.4836,2.659308,2.5481505,0.15877607,FSRQ
1,3.5099999999999625e-10,3.210000000000212e-12,12.366488000000016,2449999999999.8203,8.169999999999708e-13,4.358574000000001,1677.4373999999857,4FGL J0003.9-1149,1.30999,19.3223,2.0871086,1.9320688,0.27118722,BLL
2,2.4100000000000046e-10,2.489999999999796e-12,7.115045999999999,2570000000000.0293,2.290000000000063e-13,44.86029000000043,917.1227400000079,4FGL J0004.3+4614,1.81,20.408297,2.584969,2.526971,0.06729238,FSRQ
3,4.3600000000000387e-10,6.510000000000117e-12,19.55274999999991,13200000000001.53,2.5199999999997453e-12,139.1230500000006,915.5827599999991,4FGL J0004.4-4737,0.88,19.8476,2.36556,2.3042858,0.09203692,FSRQ
4,4.249999999999983e-10,8.359999999999699e-12,16.455745999999866,13200000000001.53,7.2600000000001036e-12,26.76951599999975,450.06270000000114,4FGL J0005.9+3824,0.229,18.3994,2.6721156,2.5520496,0.18990411,FSRQ
5,1.4000000000000063e-10,1.4300000000001244e-12,5.254865599999996,8319999999999.533,8.179999999999568e-12,20.412578999999898,2162.208300000004,4FGL J0006.3-0620,0.347,17.1541,2.127844,2.1056306,0.16953455,BLL
6,2.0499999999999828e-09,1.8299999999998737e-11,47.19151300000007,33499999999996.47,1.2999999999998888e-12,6.434004300000003,1362.5607000000077,4FGL J0008.0+4711,0.28,19.0094,2.0470488,1.9286299,0.07913111,BLL
7,1.640000000000007e-10,2.6899999999999536e-12,10.347474999999895,8.130000000000629e+16,1.1700000000001018e-12,13.834541000000149,6562.021999999961,4FGL J0008.4-2339,0.147,18.3753,1.6560616,1.3491105,0.27816898,BLL
8,4.769999999999956e-10,5.129999999999816e-12,15.143666999999985,24499999999998.203,1.7100000000001827e-12,13.046000500000126,1881.5137000000184,4FGL J0009.1+0628,1.562629,17.9922,2.0990546,2.0630696,0.046000473,BLL
9,2.070000000000011e-10,2.429999999999935e-12,10.615040999999882,127000000000012.58,9.709999999999887e-13,16.92237900000017,2124.0339999999915,4FGL J0009.8-4317,0.56,18.9408,2.0651708,2.046758,0.022229282,BLL
10,1.7300000000000196e-10,1.9499999999999216e-12,5.650019000000006,3629999999999.888,3.6400000000003753e-13,26.95931399999998,1386.2389000000132,4FGL J0010.6+2043,0.6,19.3185,2.31787,2.249444,0.08393108,FSRQ
11,3.4899999999999983e-10,4.520000000000188e-12,15.549888000000164,9660000000000.129,6.699999999999596e-13,91.59437599999978,735.7083000000048,4FGL J0010.6-3025,1.19,19.4753,2.4560356,2.3925977,0.106107526,FSRQ
12,4.2899999999999536e-10,5.860000000000128e-12,14.1452850000001,6920000000000.675,8.560000000000916e-13,71.97578999999931,1181.6992000000096,4FGL J0011.4+0057,1.492,19.9879,2.3342156,2.2857835,0.047320575,FSRQ
13,1.6500000000000152e-10,2.2099999999999476e-12,4.986842599999997,1450000000000.0813,6.409999999999741e-13,10.031221999999923,2000.3035999999786,4FGL J0013.6-0424,1.075,20.3954,2.3075821,2.2944312,-0.06943933,FSRQ
14,2.97999999999997e-10,3.1500000000000025e-12,13.31967300000009,8.710000000000725e+16,5.129999999999816e-12,4.38526,2498.283999999995,4FGL J0013.9-1854,0.094846,17.4041,1.9975508,1.9552113,0.037264645,BLL
15,2.2499999999999827e-10,2.3000000000000387e-12,8.11472099999999,46799999999997.39,1.8700000000000023e-12,39.8530200000002,1453.297500000015,4FGL J0014.1+1910,0.477,18.3631,2.276216,2.1284394,0.1974029,BLL
16,2.579999999999994e-10,2.8799999999997922e-12,11.469013999999913,4.570000000000535e+17,2.5900000000002864e-12,2.098723599999998,2658.607700000017,4FGL J0014.1-5022,0.01,18.403,2.0150008,1.9675819,0.03362283,BLL
17,1.6500000000000152e-10,2.6800000000000694e-12,4.353313000000002,137999999999988.28,3.6500000000002157e-13,9.475375000000007,1223.597999999991,4FGL J0014.2+0854,0.163,19.0537,2.4726174,2.5028715,-0.036627624,BLL
18,1.0299999999999932e-10,1.4400000000001667e-12,5.726996400000005,275000000000023.75,5.250000000000517e-13,7.3953557000000085,5492.130000000058,4FGL J0015.2+3537,0.57,19.5389,1.926888,1.9560485,-0.040807247,BLL
19,4.1700000000000177e-10,9.949999999999422e-12,20.854485000000132,2570000000000.0293,6.769999999999321e-13,82.13560500000006,372.3416399999977,4FGL J0016.2-0016,1.57631,19.7838,2.7406797,2.6136599,0.18483016,FSRQ
20,1.510000000000004e-10,3.079999999999689e-12,5.345508600000006,10000000000000.0,1.7100000000001827e-12,15.788530000000152,543.3887299999976,4FGL J0016.5+1702,1.709,18.0408,2.6018126,2.31253,0.29727963,FSRQ
21,7.579999999999936e-10,1.2199999999998658e-11,23.468843000000053,8490000000000.914,2.6100000000001167e-12,230.15604999999795,830.7859499999913,4FGL J0017.5-0514,0.227,17.6388,2.563,2.5941525,0.10512555,FSRQ
22,2.3600000000000224e-10,2.7800000000001473e-12,8.068759000000009,157999999999991.75,1.4400000000001667e-12,14.220093999999918,1576.223899999983,4FGL J0017.8+1455,0.302712,18.9029,2.192974,2.0309079,0.19641905,BLL
23,2.6300000000000173e-10,3.4900000000001554e-12,13.572393000000137,1.3499999999999792e+16,5.34999999999965e-13,4.771218299999997,5687.808599999949,4FGL J0018.4+2946,0.1,18.1082,1.698466,1.5638436,0.10504266,BLL
24,1.1100000000000049e-09,2.1100000000000365e-11,21.729990000000207,2090000000000.2234,1.189999999999918e-12,318.9100600000024,989.6071999999954,4FGL J0019.6+7327,1.781,18.2861,2.6243196,2.6070993,0.07415682,FSRQ
25,1.6300000000000078e-10,1.8599999999999266e-12,5.827821300000006,831999999999.9534,3.550000000000052e-13,10.274477999999982,1344.9492999999939,4FGL J0021.6-0855,0.648,18.6179,2.2711666,2.033371,0.2510766,BLL
26,5.98999999999999e-10,6.900000000000711e-12,24.84530599999982,660999999999939.8,2.090000000000223e-12,30.683593999999744,1643.3567999999887,4FGL J0021.9-5140,0.25,16.014,2.0653079,2.0532596,0.009565411,BLL
27,1.0400000000000008e-10,1.9099999999998774e-12,7.4418434999999965,1.3499999999999792e+17,7.76999999999975e-13,9.303731999999997,14206.854499999954,4FGL J0022.0+0006,0.306,18.883,1.5330765,1.5771286,-0.05945276,BLL
28,5.46999999999999e-10,5.840000000000014e-12,19.00142899999998,10999999999999.379,2.4499999999998204e-13,98.55006399999995,844.4784500000059,4FGL J0023.7+4457,1.062,19.9608,2.436455,2.3852985,0.07231488,FSRQ
29,1.6300000000000078e-10,2.4100000000001725e-12,6.049646000000006,10999999999999.379,2.199999999999966e-13,88.12024999999947,1332.0991000000029,4FGL J0024.7+0349,0.545,20.5625,2.3913183,2.3798795,0.112696275,FSRQ
30,1.0899999999999915e-10,1.4800000000001456e-12,5.430463299999995,94400000000006.72,3.8099999999998333e-13,9.34484099999999,957.588699999994,4FGL J0025.2-2231,0.834,19.2053,2.5031378,2.5171926,-0.036223777,FSRQ
31,6.050000000000008e-10,6.210000000000289e-12,19.100287999999917,2570000000000.0293,6.580000000000683e-13,81.12262999999932,797.1038000000033,4FGL J0028.4+2001,1.5517,20.2315,2.4137485,2.3585162,0.11103255,FSRQ
32,1.1199999999999963e-10,6.210000000000289e-12,4.8101050000000045,100000000000000.0,8.649999999999709e-13,13.758507999999962,3036.677200000002,4FGL J0028.8-0112,0.082,18.741772,2.1475756,2.1410205,0.005695018,BLL
33,2.879999999999992e-10,4.06999999999982e-12,14.14141300000007,3550000000000052.0,2.1200000000002398e-12,34.82960500000035,3909.7445999999845,4FGL J0030.2-1647,0.237,18.0089,1.7863624,1.6412055,0.13414232,BLL
34,1.0299999999999931e-09,1.6099999999998166e-11,38.76677699999982,10099999999999.02,1.700000000000105e-12,78.6083760000003,624.1775500000061,4FGL J0030.3-4224,0.495,17.9794,2.5236237,2.5033674,0.05095111,FSRQ
35,1.640000000000007e-10,2.3499999999998008e-12,7.377357000000009,43699999999997.87,2.429999999999935e-12,14.111947000000075,1026.1088000000111,4FGL J0032.4-2849,0.323888,18.4657,2.3642774,2.3034341,0.09098506,BLL
36,6.940000000000729e-11,2.3499999999998008e-12,4.355942000000002,362999999999988.8,1.339999999999974e-12,4.6364360000000024,5567.323700000007,4FGL J0033.3-2040,0.073,18.703535,1.805528,1.7402605,0.08482744,BLL
37,2.7900000000000162e-09,3.179999999999762e-11,67.08986999999952,7080000000000505.0,8.080000000000243e-12,74.24559999999923,1571.1471999999967,4FGL J0033.5-1921,0.61,16.704,1.7602993,1.6196342,0.07244495,BLL
38,1.1600000000000039e-09,1.320000000000153e-11,31.938665000000285,970999999999988.8,3.5099999999998043e-12,28.935969999999966,1944.447099999988,4FGL J0035.2+1514,1.09026,16.4032,1.854817,1.7176269,0.08106969,BLL
39,1.1800000000000112e-10,1.1799999999999291e-12,4.438322999999997,5749999999999.602,3.5199999999997457e-13,17.34611900000013,2421.6022999999964,4FGL J0035.8-0837,0.032,20.512562,2.1029685,1.9748406,0.25829485,BLL
40,1.8099999999999816e-10,2.1100000000000364e-12,6.1144819999999935,36299999999998.88,1.1100000000001094e-12,12.596570000000101,1428.5671000000018,4FGL J0037.6+3653,0.366,18.226,2.3518124,2.2677414,0.10734372,FSRQ
41,7.300000000000074e-10,8.179999999999568e-12,20.482580000000087,1120000000000046.6,6.330000000000656e-12,61.53614400000058,1310.3019999999906,4FGL J0037.8+1239,0.089,17.4377,2.2157862,2.2195632,-0.004597567,BLL
42,1.5300000000000017e-10,2.0299999999999403e-12,5.729306700000005,6920000000000.675,1.3900000000000167e-12,5.426872000000002,890.9643599999926,4FGL J0037.9+2612,0.14767,19.5394,2.482798,2.3656743,0.14940092,BLL
43,4.2100000000000087e-10,4.300000000000128e-12,16.237686000000128,63800000000005.47,5.860000000000128e-13,8.304558000000004,2171.4019000000076,4FGL J0038.1+0012,0.7395,19.6645,2.0260842,2.0066633,0.021510921,BLL
44,1.4499999999999865e-09,3.4199999999997225e-12,43.55611399999952,2570000000000.0293,1.7600000000002037e-12,1644.3140999999873,703.0547499999966,4FGL J0038.2-2459,1.196,19.0088,2.2622263,2.1645997,0.089085646,FSRQ
45,2.3300000000000044e-10,4.6400000000002064e-12,10.678061499999878,3020000000000.342,3.5400000000000925e-13,17.683333999999938,506.60794000000425,4FGL J0039.0-0946,2.1015,20.6877,2.690274,2.6325483,0.09802725,FSRQ
46,1.8300000000000012e-10,2.250000000000194e-12,8.106418999999994,315999999999997.8,1.5900000000001798e-12,18.178686,1340.8136000000002,4FGL J0040.4-2340,0.213,18.4532,2.3491604,2.3079824,0.05191687,BLL
47,1.4999999999999943e-10,1.8200000000001057e-12,7.089806600000006,1799999999999972.2,1.1400000000000703e-12,12.342612000000038,4417.629399999964,4FGL J0041.4+3800,0.38,17.492,1.9358172,1.9866525,-0.057919636,FSRQ
